casa,grupo_no_pdv,precisa_de_ficha,faturamento_set_2026
104 Sul,AGUAS,nao,18418.7
104 Sul,ALMOÇO,sim,52009.68
104 Sul,BEBIDAS REFRIGERADOS,nao,1364.52
104 Sul,BOMBONIERE,nao,722.45
104 Sul,BOWLS,sim,2604.24
104 Sul,CAFES QUENTES E FRIOS,sim,58262.32
104 Sul,CERVEJAS,nao,1461.04
104 Sul,CERVEJAS NAO ALCOOLICAS,nao,158.54
104 Sul,CHAS,sim,2095.11
104 Sul,COMBINADOS,sim,15568.19
104 Sul,CONFEITARIA,sim,45941.27
104 Sul,CONFEITARIA EMPORIO,sim,555.83
104 Sul,CONGELADOS,sim,6058.89
104 Sul,DOSES,sim,360.45
104 Sul,DRINKS COM ALCOOL,sim,9069.61
104 Sul,DRINKS SEM ALCOOL,sim,4345.59
104 Sul,EMBALAGEM CMV,nao,168.56
104 Sul,EMBALAGENS,nao,8.03
104 Sul,ENERGETICOS,nao,30.0
104 Sul,ITENS BALCAO,sim,53230.56
104 Sul,MENU ENCOMENDA,nao,25.55
104 Sul,MERCEARIA,sim,2845.26
104 Sul,PADARIA,sim,9717.13
104 Sul,PARA COMPARTILHAR,sim,7265.18
104 Sul,PRATOS,sim,58518.11
104 Sul,REFRIGERANTES,nao,7771.82
104 Sul,SAFO,nao,2441.84
104 Sul,SALADAS,sim,3836.56
104 Sul,SANDUICHES BALCAO,sim,7080.34
104 Sul,SANDUICHES SALAO,sim,26900.51
104 Sul,SMOOTHIES,sim,4013.7
104 Sul,SOBREMESAS,sim,6457.68
104 Sul,SUCOS NATURAIS,sim,19796.87
104 Sul,TOASTS,sim,20078.91
104 Sul,VINHOS,sim,7262.04
Beira Lago,BEBIDAS / ALCOÓLICAS,nao,8425.0
Beira Lago,BEBIDAS / CAFÉS,nao,9722.3
Beira Lago,BEBIDAS / NÃO ALCOÓLICAS,nao,35930.6
Beira Lago,BEBIDAS / SUCOS,sim,2512.0
Beira Lago,DESCARTÁVEIS E EMBALAGENS / DESCARTÁVEIS/ EMBALAGENS,nao,60.0
Beira Lago,DOSES / ALCOÓLICAS,sim,4094.0
Beira Lago,DRINKS / ALCOÓLICAS,sim,24850.0
Beira Lago,DRINKS / NÃO ALCOÓLICAS,sim,4103.0
Beira Lago,EVENTOS / TAXAS,nao,475461.77
Beira Lago,ITENS DO MENU / ANTIPASTI,sim,3946.0
Beira Lago,ITENS DO MENU / ENTRADAS,sim,69532.02
Beira Lago,ITENS DO MENU / PRINCIPAIS,sim,279771.0
Beira Lago,ITENS DO MENU / SOBREMESAS,sim,19018.58
Beira Lago,OUTROS / TAXAS,nao,11117.0
Beira Lago,VINHOS / BRANCO,nao,32310.0
Beira Lago,VINHOS / BRANCO - EVENTOS,nao,0.19
Beira Lago,VINHOS / CHAMPANHES,nao,3056.0
Beira Lago,VINHOS / ESPUMANTE,nao,4841.0
Beira Lago,VINHOS / ROSÉ,nao,2629.0
Beira Lago,VINHOS / SOBREMESA E FORTIFICADOS,nao,319.0
Beira Lago,VINHOS / TAÇA,sim,4563.9
Beira Lago,VINHOS / TINTO,nao,43368.0
Beira Lago,VINHOS / TINTO - EVENTOS,nao,0.23
Matri,MATRI,sim,82890.03
Noroeste,AGUAS,nao,12172.98
Noroeste,ALMOÇO,sim,74078.76
Noroeste,BEBIDAS REFRIGERADOS,nao,989.4
Noroeste,BOMBONIERE,nao,363.33
Noroeste,BOWLS,sim,2402.49
Noroeste,CAFES QUENTES E FRIOS,sim,25880.19
Noroeste,CERVEJAS,nao,7173.25
Noroeste,CERVEJAS NAO ALCOOLICAS,nao,564.95
Noroeste,CHAS,sim,539.52
Noroeste,COMBINADOS,sim,5522.32
Noroeste,CONFEITARIA,sim,28923.49
Noroeste,CONGELADOS,sim,2549.12
Noroeste,DOSES,sim,458.72
Noroeste,DRINKS COM ALCOOL,sim,11897.72
Noroeste,DRINKS SEM ALCOOL,sim,1830.76
Noroeste,EMBALAGEM CMV,nao,637.03
Noroeste,EMBALAGENS,nao,1.1
Noroeste,ITENS BALCAO,sim,25518.02
Noroeste,MENU ENCOMENDA,nao,466.49
Noroeste,MERCEARIA,nao,674.38
Noroeste,PADARIA,sim,3058.65
Noroeste,PARA COMPARTILHAR,sim,17986.18
Noroeste,PRATOS,sim,29814.28
Noroeste,REFRIGERANTES,nao,11428.11
Noroeste,SAFO,sim,562.07
Noroeste,SALADAS,sim,7740.67
Noroeste,SANDUICHES BALCAO,sim,3772.24
Noroeste,SANDUICHES SALAO,sim,16147.71
Noroeste,SMOOTHIES,sim,2736.63
Noroeste,SOBREMESAS,sim,2432.43
Noroeste,SUCOS NATURAIS,sim,14419.15
Noroeste,TAXA DE ROLHA,nao,761.35
Noroeste,TOASTS,sim,10986.73
Noroeste,VINHOS,sim,18059.92
Wine Garden,AGUAS,nao,14376.13
Wine Garden,BEBIDAS REFRIGERADOS,nao,78.0
Wine Garden,CAFES QUENTES E FRIOS,sim,482.42
Wine Garden,CERVEJAS,nao,11998.0
Wine Garden,CERVEJAS NAO ALCOOLICAS,nao,1636.91
Wine Garden,DESTILADAS,nao,299.0
Wine Garden,DOSES,sim,1098.33
Wine Garden,DRINKS COM ALCOOL,sim,22789.67
Wine Garden,DRINKS SEM ALCOOL,sim,2341.25
Wine Garden,ENERGETICOS,nao,58.76
Wine Garden,REFRIGERANTES,nao,6489.93
Wine Garden,SUCOS NATURAIS,sim,3580.72
Wine Garden,VINHOS,nao,117582.2
Wine Garden,WG - CARDAPIO,sim,18781.04
Wine Garden,WG - DRINKS SEM ALCOOL,sim,3875.26
Wine Garden,WINE GARDEN,sim,210034.9
